      ┌────────date_to_hour─┬─logs_count─┐
   1. │ 2024-08-08 03:00:00 │         71 │
6755. │ 2025-05-16 14:00:00 │        132 │
6756. │ 2025-05-16 15:00:00 │        146 │
6757. │ 2025-05-16 16:00:00 │        137 │
6758. │ 2025-05-16 17:00:00 │        147 │
6759. │ 2025-05-16 18:00:00 │        111 │
6760. │ 2025-05-16 19:00:00 │        143 │
6761. │ 2025-05-16 20:00:00 │        138 │
6762. │ 2025-05-16 21:00:00 │        160 │
6763. │ 2025-05-16 22:00:00 │        122 │
6764. │ 2025-05-16 23:00:00 │        140 │
6765. │ 2025-05-17 00:00:00 │        131 │
6766. │ 2025-05-17 01:00:00 │        118 │
6767. │ 2025-05-17 02:00:00 │        145 │
6768. │ 2025-05-17 03:00:00 │        142 │
6769. │ 2025-05-17 04:00:00 │        135 │
6770. │ 2025-05-17 05:00:00 │        147 │
6771. │ 2025-05-17 06:00:00 │        128 │
6772. │ 2025-05-17 07:00:00 │        124 │
6773. │ 2025-05-17 08:00:00 │        150 │
6774. │ 2025-05-17 09:00:00 │        146 │
6775. │ 2025-05-17 10:00:00 │        146 │
6776. │ 2025-05-17 11:00:00 │        146 │
6777. │ 2025-05-17 12:00:00 │        142 │
6778. │ 2025-05-17 13:00:00 │        140 │
6779. │ 2025-05-17 14:00:00 │        152 │
6780. │ 2025-05-17 15:00:00 │        141 │
6781. │ 2025-05-17 16:00:00 │        142 │
6782. │ 2025-05-17 17:00:00 │        142 │
6783. │ 2025-05-17 18:00:00 │        149 │
6784. │ 2025-05-17 19:00:00 │        127 │
6785. │ 2025-05-17 20:00:00 │        133 │
6786. │ 2025-05-17 21:00:00 │        133 │
6787. │ 2025-05-17 22:00:00 │        120 │
6788. │ 2025-05-17 23:00:00 │        128 │
6789. │ 2025-05-18 00:00:00 │        149 │
6790. │ 2025-05-18 01:00:00 │        140 │
6791. │ 2025-05-18 02:00:00 │        122 │
6792. │ 2025-05-18 03:00:00 │        166 │
6793. │ 2025-05-18 04:00:00 │        165 │
6794. │ 2025-05-18 05:00:00 │        131 │
6795. │ 2025-05-18 06:00:00 │        137 │
6796. │ 2025-05-18 07:00:00 │        137 │
6797. │ 2025-05-18 08:00:00 │        147 │
6798. │ 2025-05-18 09:00:00 │        144 │
6799. │ 2025-05-18 10:00:00 │        153 │
6800. │ 2025-05-18 11:00:00 │        128 │
6801. │ 2025-05-18 12:00:00 │        149 │
6802. │ 2025-05-18 13:00:00 │        140 │
6803. │ 2025-05-18 14:00:00 │        133 │
6804. │ 2025-05-18 15:00:00 │        141 │
6805. │ 2025-05-18 16:00:00 │        134 │
6806. │ 2025-05-18 17:00:00 │        153 │
6807. │ 2025-05-18 18:00:00 │        134 │
6808. │ 2025-05-18 19:00:00 │        134 │
6809. │ 2025-05-18 20:00:00 │        128 │
6810. │ 2025-05-18 21:00:00 │        131 │
6811. │ 2025-05-18 22:00:00 │        142 │
6812. │ 2025-05-18 23:00:00 │        127 │
6813. │ 2025-05-19 00:00:00 │        152 │
6814. │ 2025-05-19 01:00:00 │        137 │
6815. │ 2025-05-19 02:00:00 │        120 │
6816. │ 2025-05-19 03:00:00 │        141 │
6817. │ 2025-05-19 04:00:00 │        129 │
6818. │ 2025-05-19 05:00:00 │        122 │
6819. │ 2025-05-19 06:00:00 │        146 │
6820. │ 2025-05-19 07:00:00 │        148 │
6821. │ 2025-05-19 08:00:00 │        149 │
6822. │ 2025-05-19 09:00:00 │        142 │
6823. │ 2025-05-19 10:00:00 │        133 │
6824. │ 2025-05-19 11:00:00 │        136 │
6825. │ 2025-05-19 12:00:00 │        135 │
6826. │ 2025-05-19 13:00:00 │        129 │
6827. │ 2025-05-19 14:00:00 │        125 │
6828. │ 2025-05-19 15:00:00 │        138 │
6829. │ 2025-05-19 16:00:00 │        138 │
6830. │ 2025-05-19 17:00:00 │        139 │
6831. │ 2025-05-19 18:00:00 │        128 │
6832. │ 2025-05-19 19:00:00 │        147 │
6833. │ 2025-05-19 20:00:00 │        154 │
6834. │ 2025-05-19 21:00:00 │        140 │
6835. │ 2025-05-19 22:00:00 │        136 │
6836. │ 2025-05-19 23:00:00 │        142 │
6837. │ 2025-05-20 00:00:00 │        121 │
6838. │ 2025-05-20 01:00:00 │        143 │
6839. │ 2025-05-20 02:00:00 │        149 │
6840. │ 2025-05-20 03:00:00 │        121 │
6841. │ 2025-05-20 04:00:00 │        148 │
6842. │ 2025-05-20 05:00:00 │        150 │
6843. │ 2025-05-20 06:00:00 │        139 │
6844. │ 2025-05-20 07:00:00 │        139 │
6845. │ 2025-05-20 08:00:00 │        128 │
6846. │ 2025-05-20 09:00:00 │        140 │
6847. │ 2025-05-20 10:00:00 │        145 │
6848. │ 2025-05-20 11:00:00 │        135 │
6849. │ 2025-05-20 12:00:00 │        136 │
6850. │ 2025-05-20 13:00:00 │        136 │
6851. │ 2025-05-20 14:00:00 │        143 │
6852. │ 2025-05-20 15:00:00 │        157 │
6853. │ 2025-05-20 16:00:00 │        124 │
6854. │ 2025-05-20 17:00:00 │        157 │
6855. │ 2025-05-20 18:00:00 │        137 │
6856. │ 2025-05-20 19:00:00 │        157 │
6857. │ 2025-05-20 20:00:00 │        137 │
6858. │ 2025-05-20 21:00:00 │        128 │
6859. │ 2025-05-20 22:00:00 │        159 │
6860. │ 2025-05-20 23:00:00 │        141 │
6861. │ 2025-05-21 00:00:00 │        134 │
6862. │ 2025-05-21 01:00:00 │        115 │
6863. │ 2025-05-21 02:00:00 │        138 │
6864. │ 2025-05-21 03:00:00 │        123 │
6865. │ 2025-05-21 04:00:00 │        142 │
6866. │ 2025-05-21 05:00:00 │        131 │
6867. │ 2025-05-21 06:00:00 │        152 │
6868. │ 2025-05-21 07:00:00 │        153 │
6869. │ 2025-05-21 08:00:00 │        121 │
6870. │ 2025-05-21 09:00:00 │        157 │
6871. │ 2025-05-21 10:00:00 │        138 │
6872. │ 2025-05-21 11:00:00 │        153 │
6873. │ 2025-05-21 12:00:00 │        140 │
6874. │ 2025-05-21 13:00:00 │        128 │
6875. │ 2025-05-21 14:00:00 │        131 │
6876. │ 2025-05-21 15:00:00 │        142 │
6877. │ 2025-05-21 16:00:00 │        152 │
6878. │ 2025-05-21 17:00:00 │        122 │
6879. │ 2025-05-21 18:00:00 │        151 │
6880. │ 2025-05-21 19:00:00 │        149 │
6881. │ 2025-05-21 20:00:00 │        150 │
6882. │ 2025-05-21 21:00:00 │        150 │
6883. │ 2025-05-21 22:00:00 │        119 │
6884. │ 2025-05-21 23:00:00 │        138 │
6885. │ 2025-05-22 00:00:00 │        138 │
6886. │ 2025-05-22 01:00:00 │        140 │
6887. │ 2025-05-22 02:00:00 │        139 │
6888. │ 2025-05-22 03:00:00 │        129 │
6889. │ 2025-05-22 04:00:00 │        153 │
6890. │ 2025-05-22 05:00:00 │        125 │
6891. │ 2025-05-22 06:00:00 │        144 │
6892. │ 2025-05-22 07:00:00 │        104 │
6893. │ 2025-05-22 08:00:00 │        134 │
6894. │ 2025-05-22 09:00:00 │        145 │
6895. │ 2025-05-22 10:00:00 │        137 │
6896. │ 2025-05-22 11:00:00 │        129 │
6897. │ 2025-05-22 12:00:00 │        149 │
6898. │ 2025-05-22 13:00:00 │        122 │
6899. │ 2025-05-22 14:00:00 │        122 │
6900. │ 2025-05-22 15:00:00 │        146 │
6901. │ 2025-05-22 16:00:00 │        142 │
6902. │ 2025-05-22 17:00:00 │        165 │
6903. │ 2025-05-22 18:00:00 │        153 │
6904. │ 2025-05-22 19:00:00 │        130 │
6905. │ 2025-05-22 20:00:00 │        133 │
6906. │ 2025-05-22 21:00:00 │        156 │
6907. │ 2025-05-22 22:00:00 │        123 │
6908. │ 2025-05-22 23:00:00 │        145 │
6909. │ 2025-05-23 00:00:00 │        157 │
6910. │ 2025-05-23 01:00:00 │        130 │
6911. │ 2025-05-23 02:00:00 │        152 │
6912. │ 2025-05-23 03:00:00 │        148 │
6913. │ 2025-05-23 04:00:00 │        141 │
6914. │ 2025-05-23 05:00:00 │        154 │
6915. │ 2025-05-23 06:00:00 │        145 │
6916. │ 2025-05-23 07:00:00 │        137 │
6917. │ 2025-05-23 08:00:00 │        141 │
6918. │ 2025-05-23 09:00:00 │        142 │
6919. │ 2025-05-23 10:00:00 │        148 │
6920. │ 2025-05-23 11:00:00 │        146 │
6921. │ 2025-05-23 12:00:00 │        138 │
6922. │ 2025-05-23 13:00:00 │        137 │
6923. │ 2025-05-23 14:00:00 │        140 │
6924. │ 2025-05-23 15:00:00 │        121 │
6925. │ 2025-05-23 16:00:00 │        129 │
6926. │ 2025-05-23 17:00:00 │        151 │
6927. │ 2025-05-23 18:00:00 │        143 │
6928. │ 2025-05-23 19:00:00 │        124 │
6929. │ 2025-05-23 20:00:00 │        137 │
6930. │ 2025-05-23 21:00:00 │        138 │
6931. │ 2025-05-23 22:00:00 │        124 │
6932. │ 2025-05-23 23:00:00 │        136 │
6933. │ 2025-05-24 00:00:00 │        153 │
6934. │ 2025-05-24 01:00:00 │        154 │
6935. │ 2025-05-24 02:00:00 │        124 │
6936. │ 2025-05-24 03:00:00 │        131 │
6937. │ 2025-05-24 04:00:00 │        142 │
6938. │ 2025-05-24 05:00:00 │        130 │
6939. │ 2025-05-24 06:00:00 │        139 │
6940. │ 2025-05-24 07:00:00 │        145 │
6941. │ 2025-05-24 08:00:00 │        121 │
6942. │ 2025-05-24 09:00:00 │        150 │
6943. │ 2025-05-24 10:00:00 │        141 │
6944. │ 2025-05-24 11:00:00 │        142 │
6945. │ 2025-05-24 12:00:00 │        140 │
6946. │ 2025-05-24 13:00:00 │        124 │
6947. │ 2025-05-24 14:00:00 │        128 │
6948. │ 2025-05-24 15:00:00 │        136 │
6949. │ 2025-05-24 16:00:00 │        146 │
6950. │ 2025-05-24 17:00:00 │        150 │
6951. │ 2025-05-24 18:00:00 │        146 │
6952. │ 2025-05-24 19:00:00 │        144 │
6953. │ 2025-05-24 20:00:00 │        129 │
6954. │ 2025-05-24 21:00:00 │        158 │
6955. │ 2025-05-24 22:00:00 │        132 │
6956. │ 2025-05-24 23:00:00 │        120 │
6957. │ 2025-05-25 00:00:00 │        138 │
6958. │ 2025-05-25 01:00:00 │        133 │
6959. │ 2025-05-25 02:00:00 │        139 │
6960. │ 2025-05-25 03:00:00 │        136 │
6961. │ 2025-05-25 04:00:00 │        153 │
6962. │ 2025-05-25 05:00:00 │        137 │
6963. │ 2025-05-25 06:00:00 │        132 │
6964. │ 2025-05-25 07:00:00 │        144 │
6965. │ 2025-05-25 08:00:00 │        162 │
6966. │ 2025-05-25 09:00:00 │        124 │
6967. │ 2025-05-25 10:00:00 │        140 │
6968. │ 2025-05-25 11:00:00 │        131 │
6969. │ 2025-05-25 12:00:00 │        144 │
6970. │ 2025-05-25 13:00:00 │        139 │
6971. │ 2025-05-25 14:00:00 │        141 │
6972. │ 2025-05-25 15:00:00 │        129 │
6973. │ 2025-05-25 16:00:00 │        122 │
6974. │ 2025-05-25 17:00:00 │        153 │
6975. │ 2025-05-25 18:00:00 │        138 │
6976. │ 2025-05-25 19:00:00 │        125 │
6977. │ 2025-05-25 20:00:00 │        162 │
6978. │ 2025-05-25 21:00:00 │        148 │
6979. │ 2025-05-25 22:00:00 │        135 │
6980. │ 2025-05-25 23:00:00 │        122 │
6981. │ 2025-05-26 00:00:00 │        128 │
6982. │ 2025-05-26 01:00:00 │        134 │
6983. │ 2025-05-26 02:00:00 │        146 │
6984. │ 2025-05-26 03:00:00 │        148 │
6985. │ 2025-05-26 04:00:00 │        126 │
6986. │ 2025-05-26 05:00:00 │        132 │
6987. │ 2025-05-26 06:00:00 │        137 │
6988. │ 2025-05-26 07:00:00 │        149 │
6989. │ 2025-05-26 08:00:00 │        126 │
6990. │ 2025-05-26 09:00:00 │        136 │
6991. │ 2025-05-26 10:00:00 │        142 │
6992. │ 2025-05-26 11:00:00 │        137 │
6993. │ 2025-05-26 12:00:00 │        122 │
6994. │ 2025-05-26 13:00:00 │        120 │
6995. │ 2025-05-26 14:00:00 │        143 │
6996. │ 2025-05-26 15:00:00 │        113 │
6997. │ 2025-05-26 16:00:00 │        131 │
6998. │ 2025-05-26 17:00:00 │        151 │
6999. │ 2025-05-26 18:00:00 │        123 │
7000. │ 2025-05-26 19:00:00 │        150 │
7001. │ 2025-05-26 20:00:00 │        141 │
7002. │ 2025-05-26 21:00:00 │        156 │
7003. │ 2025-05-26 22:00:00 │        147 │
7004. │ 2025-05-26 23:00:00 │        138 │
7005. │ 2025-05-27 00:00:00 │        133 │
7006. │ 2025-05-27 01:00:00 │        104 │
7007. │ 2025-05-27 02:00:00 │        122 │
7008. │ 2025-05-27 03:00:00 │        148 │
7009. │ 2025-05-27 04:00:00 │        135 │
7010. │ 2025-05-27 05:00:00 │        127 │
7011. │ 2025-05-27 06:00:00 │        137 │
7012. │ 2025-05-27 07:00:00 │        126 │
7013. │ 2025-05-27 08:00:00 │        146 │
7014. │ 2025-05-27 09:00:00 │        144 │
7015. │ 2025-05-27 10:00:00 │        148 │
7016. │ 2025-05-27 11:00:00 │        140 │
7017. │ 2025-05-27 12:00:00 │        151 │
7018. │ 2025-05-27 13:00:00 │        138 │
7019. │ 2025-05-27 14:00:00 │        139 │
7020. │ 2025-05-27 15:00:00 │        130 │
7021. │ 2025-05-27 16:00:00 │        132 │
7022. │ 2025-05-27 17:00:00 │        119 │
7023. │ 2025-05-27 18:00:00 │        136 │
7024. │ 2025-05-27 19:00:00 │        139 │
7025. │ 2025-05-27 20:00:00 │        152 │
7026. │ 2025-05-27 21:00:00 │        138 │
7027. │ 2025-05-27 22:00:00 │        151 │
7028. │ 2025-05-27 23:00:00 │        156 │
7029. │ 2025-05-28 00:00:00 │        135 │
7030. │ 2025-05-28 01:00:00 │        155 │
7031. │ 2025-05-28 02:00:00 │        140 │
7032. │ 2025-05-28 03:00:00 │        141 │
7033. │ 2025-05-28 04:00:00 │        123 │
7034. │ 2025-05-28 05:00:00 │        141 │
7035. │ 2025-05-28 06:00:00 │        123 │
7036. │ 2025-05-28 07:00:00 │        134 │
7037. │ 2025-05-28 08:00:00 │        138 │
7038. │ 2025-05-28 09:00:00 │        131 │
7039. │ 2025-05-28 10:00:00 │        130 │
7040. │ 2025-05-28 11:00:00 │        131 │
7041. │ 2025-05-28 12:00:00 │        134 │
7042. │ 2025-05-28 13:00:00 │        152 │
7043. │ 2025-05-28 14:00:00 │        152 │
7044. │ 2025-05-28 15:00:00 │        131 │
7045. │ 2025-05-28 16:00:00 │        135 │
7046. │ 2025-05-28 17:00:00 │        136 │
7047. │ 2025-05-28 18:00:00 │        142 │
7048. │ 2025-05-28 19:00:00 │        141 │
7049. │ 2025-05-28 20:00:00 │        133 │
7050. │ 2025-05-28 21:00:00 │        159 │
7051. │ 2025-05-28 22:00:00 │        140 │
7052. │ 2025-05-28 23:00:00 │        145 │
7053. │ 2025-05-29 00:00:00 │        135 │
7054. │ 2025-05-29 01:00:00 │        127 │
7055. │ 2025-05-29 02:00:00 │        127 │
7056. │ 2025-05-29 03:00:00 │        144 │
7057. │ 2025-05-29 04:00:00 │        148 │
7058. │ 2025-05-29 05:00:00 │        132 │
7059. │ 2025-05-29 06:00:00 │        148 │
7060. │ 2025-05-29 07:00:00 │        137 │
7061. │ 2025-05-29 08:00:00 │        145 │
7062. │ 2025-05-29 09:00:00 │        138 │
7063. │ 2025-05-29 10:00:00 │        129 │
7064. │ 2025-05-29 11:00:00 │        119 │
7065. │ 2025-05-29 12:00:00 │        138 │
7066. │ 2025-05-29 13:00:00 │        120 │
7067. │ 2025-05-29 14:00:00 │        159 │
7068. │ 2025-05-29 15:00:00 │        148 │
7069. │ 2025-05-29 16:00:00 │        140 │
7070. │ 2025-05-29 17:00:00 │        137 │
7071. │ 2025-05-29 18:00:00 │        133 │
7072. │ 2025-05-29 19:00:00 │        146 │
7073. │ 2025-05-29 20:00:00 │        137 │
7074. │ 2025-05-29 21:00:00 │        142 │
7075. │ 2025-05-29 22:00:00 │        143 │
7076. │ 2025-05-29 23:00:00 │        139 │
7077. │ 2025-05-30 00:00:00 │        136 │
7078. │ 2025-05-30 01:00:00 │        150 │
7079. │ 2025-05-30 02:00:00 │        145 │
7080. │ 2025-05-30 03:00:00 │        149 │
7081. │ 2025-05-30 04:00:00 │        116 │
7082. │ 2025-05-30 05:00:00 │        137 │
7083. │ 2025-05-30 06:00:00 │        123 │
7084. │ 2025-05-30 07:00:00 │        134 │
7085. │ 2025-05-30 08:00:00 │        144 │
7086. │ 2025-05-30 09:00:00 │        150 │
7087. │ 2025-05-30 10:00:00 │        131 │
7088. │ 2025-05-30 11:00:00 │        143 │
7089. │ 2025-05-30 12:00:00 │        134 │
7090. │ 2025-05-30 13:00:00 │        152 │
7091. │ 2025-05-30 14:00:00 │        145 │
7092. │ 2025-05-30 15:00:00 │        118 │
7093. │ 2025-05-30 16:00:00 │        153 │
7094. │ 2025-05-30 17:00:00 │        143 │
7095. │ 2025-05-30 18:00:00 │        159 │
7096. │ 2025-05-30 19:00:00 │        130 │
7097. │ 2025-05-30 20:00:00 │        127 │
7098. │ 2025-05-30 21:00:00 │        139 │
7099. │ 2025-05-30 22:00:00 │        168 │
7100. │ 2025-05-30 23:00:00 │        148 │
7101. │ 2025-05-31 00:00:00 │        146 │
7102. │ 2025-05-31 01:00:00 │        121 │
7103. │ 2025-05-31 02:00:00 │        116 │
7104. │ 2025-05-31 03:00:00 │        134 │
7105. │ 2025-05-31 04:00:00 │        136 │
7106. │ 2025-05-31 05:00:00 │        143 │
7107. │ 2025-05-31 06:00:00 │        135 │
7108. │ 2025-05-31 07:00:00 │        123 │
7109. │ 2025-05-31 08:00:00 │        143 │
7110. │ 2025-05-31 09:00:00 │        119 │
7111. │ 2025-05-31 10:00:00 │        116 │
7112. │ 2025-05-31 11:00:00 │        126 │
7113. │ 2025-05-31 12:00:00 │        135 │
7114. │ 2025-05-31 13:00:00 │        116 │
7115. │ 2025-05-31 14:00:00 │        155 │
7116. │ 2025-05-31 15:00:00 │        144 │
7117. │ 2025-05-31 16:00:00 │        145 │
7118. │ 2025-05-31 17:00:00 │        135 │
7119. │ 2025-05-31 18:00:00 │        143 │
7120. │ 2025-05-31 19:00:00 │        140 │
7121. │ 2025-05-31 20:00:00 │        131 │
7122. │ 2025-05-31 21:00:00 │        144 │
7123. │ 2025-05-31 22:00:00 │        133 │
7124. │ 2025-05-31 23:00:00 │        123 │
7125. │ 2025-06-01 00:00:00 │        167 │
7126. │ 2025-06-01 01:00:00 │        134 │
7127. │ 2025-06-01 02:00:00 │        146 │
7128. │ 2025-06-01 03:00:00 │        149 │
7129. │ 2025-06-01 04:00:00 │        123 │
7130. │ 2025-06-01 05:00:00 │        139 │
7131. │ 2025-06-01 06:00:00 │        133 │
7132. │ 2025-06-01 07:00:00 │        145 │
7133. │ 2025-06-01 08:00:00 │        133 │
7134. │ 2025-06-01 09:00:00 │        155 │
7135. │ 2025-06-01 10:00:00 │        128 │
7136. │ 2025-06-01 11:00:00 │        150 │
7137. │ 2025-06-01 12:00:00 │        154 │
7138. │ 2025-06-01 13:00:00 │        123 │
7139. │ 2025-06-01 14:00:00 │        135 │
7140. │ 2025-06-01 15:00:00 │        148 │
7141. │ 2025-06-01 16:00:00 │        138 │
7142. │ 2025-06-01 17:00:00 │        161 │
7143. │ 2025-06-01 18:00:00 │        140 │
7144. │ 2025-06-01 19:00:00 │        147 │
7145. │ 2025-06-01 20:00:00 │        119 │
7146. │ 2025-06-01 21:00:00 │        109 │
7147. │ 2025-06-01 22:00:00 │        141 │
7148. │ 2025-06-01 23:00:00 │        133 │
7149. │ 2025-06-02 00:00:00 │        151 │
7150. │ 2025-06-02 01:00:00 │        145 │
7151. │ 2025-06-02 02:00:00 │        147 │
7152. │ 2025-06-02 03:00:00 │        139 │
7153. │ 2025-06-02 04:00:00 │        148 │
7154. │ 2025-06-02 05:00:00 │        150 │
7155. │ 2025-06-02 06:00:00 │        159 │
7156. │ 2025-06-02 07:00:00 │        174 │
7157. │ 2025-06-02 08:00:00 │        125 │
7158. │ 2025-06-02 09:00:00 │        116 │
7159. │ 2025-06-02 10:00:00 │        150 │
7160. │ 2025-06-02 11:00:00 │        134 │
7161. │ 2025-06-02 12:00:00 │        141 │
7162. │ 2025-06-02 13:00:00 │        136 │
7163. │ 2025-06-02 14:00:00 │        125 │
7164. │ 2025-06-02 15:00:00 │        132 │
7165. │ 2025-06-02 16:00:00 │        129 │
7166. │ 2025-06-02 17:00:00 │        132 │
7167. │ 2025-06-02 18:00:00 │        145 │
7168. │ 2025-06-02 19:00:00 │        153 │
7169. │ 2025-06-02 20:00:00 │        131 │
7170. │ 2025-06-02 21:00:00 │        145 │
7171. │ 2025-06-02 22:00:00 │        142 │
7172. │ 2025-06-02 23:00:00 │        127 │
7173. │ 2025-06-03 00:00:00 │        134 │
7174. │ 2025-06-03 01:00:00 │        126 │
7175. │ 2025-06-03 02:00:00 │        149 │
7176. │ 2025-06-03 03:00:00 │        144 │
7177. │ 2025-06-03 04:00:00 │        131 │
7178. │ 2025-06-03 05:00:00 │        150 │
7179. │ 2025-06-03 06:00:00 │        132 │
7180. │ 2025-06-03 07:00:00 │        130 │
7181. │ 2025-06-03 08:00:00 │        132 │
7182. │ 2025-06-03 09:00:00 │        137 │
7183. │ 2025-06-03 10:00:00 │        129 │
7184. │ 2025-06-03 11:00:00 │        148 │
7185. │ 2025-06-03 12:00:00 │        147 │
7186. │ 2025-06-03 13:00:00 │        142 │
7187. │ 2025-06-03 14:00:00 │        141 │
7188. │ 2025-06-03 15:00:00 │        127 │
7189. │ 2025-06-03 16:00:00 │        159 │
7190. │ 2025-06-03 17:00:00 │        120 │
7191. │ 2025-06-03 18:00:00 │        143 │
7192. │ 2025-06-03 19:00:00 │        139 │
7193. │ 2025-06-03 20:00:00 │        153 │
7194. │ 2025-06-03 21:00:00 │        143 │
7195. │ 2025-06-03 22:00:00 │        133 │
7196. │ 2025-06-03 23:00:00 │        144 │
7197. │ 2025-06-04 00:00:00 │        144 │
7198. │ 2025-06-04 01:00:00 │        127 │
7199. │ 2025-06-04 02:00:00 │        165 │
7200. │ 2025-06-04 03:00:00 │         67 │
      └────────date_to_hour─┴─logs_count─┘
